artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Madonna;Music;225973;2000;119.854;pop;0.802;7;-8.527
Britney Spears;Work B**ch;247853;2013;128.012;pop;0.816;9;-6.535
Alessia Cara;Here;199453;2015;120.892;pop, R&B;0.799;0;-4.031
My Chemical Romance;Welcome to the Black Parade;311106;2006;96.95;rock;0.905;2;-4.103
U2;Vertigo;193520;2004;140.083;World/Traditional, rock;0.819;9;-3.974
Cassie;Me & U;192213;2006;99.99;pop, R&B;0.454;8;-4.802
Jennifer Lopez;Dance Again;237266;2012;127.974;hip hop, pop, R&B;0.867;11;-5.242
James Morrison;You Give Me Something;213173;2006;79.753;pop, R&B;0.688;7;-6.496
Madonna;American Pie;273533;2000;124.036;pop;0.734;5;-7.48
Migos;Stir Fry;190288;2018;181.982;hip hop, pop;0.816;2;-5.402
Trey Songz;Say Aah (feat. Fabolous);207546;2009;93.01;hip hop, pop, R&B;0.87;1;-3.614
Drake;One Dance;173986;2016;103.967;hip hop, pop, R&B;0.625;1;-5.609
Tom Jones;Sexbomb;211893;1999;122.979;rock, Folk/Acoustic, easy listening;0.876;8;-3.94
Big Sean;I Don't Fuck With You;284386;2015;97.972;hip hop, pop;0.733;1;-5.474
Demi Lovato;Confident;205745;2015;130.064;pop;0.749;3;-6.251
Santana;Maria Maria (feat. The Product G&B);261973;1999;97.911;rock, blues, latin;0.601;2;-5.931
Doja Cat;Juicy;202333;2019;170.037;pop;0.658;0;-2.61
Sean Paul;Gimme the Light;228000;2002;107.288;hip hop, pop;0.761;2;-5.529
ZAYN;Dusk Till Dawn (feat. Sia) - Radio Edit;239000;2017;180.042;pop, Dance/Electronic;0.437;11;-6.589
Wiley;Boasty (feat. Idris Elba);177185;2019;102.958;hip hop, Dance/Electronic;0.765;2;-5.207
Alesso;Years - ラジオ・エディット;195480;2012;128.008;pop, Dance/Electronic;0.823;2;-6.245
Switchfoot;Meant to Live;201373;2003;151.551;rock, pop;0.903;2;-4.577
Evanescence;Call Me When You're Sober;214706;2006;93.41;metal;0.883;7;-4.094
A Boogie Wit da Hoodie;Swervin (feat. 6ix9ine);189486;2018;93.023;hip hop;0.662;9;-5.239
JAY-Z;Ni**as In Paris;219333;2011;140.022;hip hop;0.858;1;-5.542
Mumford & Sons;Little Lion Man;245173;2009;138.585;Folk/Acoustic, rock, pop;0.492;5;-8.05
Elliott Yamin;Wait for You;261320;2007;116.027;set();0.487;0;-6.734
The Script;Superheroes;245466;2014;166.996;pop, rock;0.885;3;-4.121
Chris Brown;Don't Wake Me Up;222306;2012;127.967;hip hop, pop, R&B;0.691;7;-5.197
Missy Elliott;Hot Boyz;215466;1998;81.125;hip hop, pop, R&B;0.445;1;-11.241
Fergie;Glamorous;246600;2006;130.993;pop, R&B;0.757;0;-6.447
Fedde Le Grand;Put Your Hands Up For Detroit - Radio Edit;150533;2015;127.995;pop, Dance/Electronic;0.931;7;-4.474
Bon Jovi;It's My Life;224493;2000;119.992;rock, metal;0.913;0;-4.063
Birdy;Wings;252106;2013;83.235;pop;0.707;7;-4.534
Taylor Swift;Blank Space;231826;2014;95.997;pop;0.703;5;-5.412
Usher;OMG (feat. will.i.am);269493;2010;129.998;hip hop, pop, R&B;0.745;4;-5.81
Taylor Swift;I Knew You Were Trouble.;219720;2012;77.019;pop;0.469;3;-6.798
